ts_ms,heap_mb,total_mb,num_gc,pause_ms
1766169168241,938.89,964.48,9,0.00
1766169168299,939.36,1019.97,10,0.00
1766169168353,941.81,1058.60,11,0.00
1766169168406,940.17,1102.20,12,0.51
1766169168438,942.89,1139.46,12,0.51
1766169168496,942.56,1187.10,13,0.51
1766169168549,942.81,1234.98,14,0.51
1766169168590,935.31,1274.50,15,0.51
1766169168679,942.64,1329.79,16,2.03
1766169168694,939.77,1339.04,17,3.04
1766169168738,942.84,1378.21,17,3.04
1766169168789,942.87,1426.02,18,3.55
1766169168846,943.01,1473.41,19,3.55
1766169168900,942.93,1520.27,20,4.55
1766169168954,942.57,1567.49,21,5.05
1766169169004,942.85,1615.01,22,5.56
1766169169059,945.58,1664.84,23,5.56
1766169169112,940.63,1707.32,24,6.08
1766169169140,930.16,1742.75,25,6.61
1766169169192,928.34,1788.66,26,7.14
1766169169241,944.04,1818.33,27,7.76
1766169169302,928.42,1882.64,28,7.76
1766169169348,941.57,1909.97,29,7.76
1766169169400,938.85,1956.33,30,7.76
1766169169452,940.87,2001.62,31,9.27
1766169169508,939.99,2051.16,32,9.27
1766169169559,941.71,2095.28,33,9.65
1766169169590,942.55,2128.01,33,9.65
1766169169645,943.04,2173.23,34,11.16
1766169169704,943.01,2222.71,36,12.67
1766169169752,942.79,2266.74,36,12.67
1766169169807,936.90,2306.66,37,12.67
1766169169848,938.04,2353.73,38,12.67
1766169169888,928.23,2390.40,39,12.67
1766169169939,930.83,2438.49,40,13.19
1766169169996,927.68,2483.42,41,13.19
1766169170046,928.71,2529.34,42,13.19
1766169170093,943.77,2563.45,43,13.19
1766169170146,942.36,2609.04,44,13.19
1766169170199,941.29,2656.54,45,13.19
1766169170246,938.51,2695.57,46,13.19
1766169170301,942.95,2744.40,47,13.19
1766169170339,944.64,2774.71,47,13.19
1766169170390,943.06,2818.48,48,13.19
1766169170445,943.22,2864.26,49,13.19
1766169170493,940.83,2906.82,50,13.70
1766169170546,940.82,2952.16,51,15.48
1766169170595,938.27,2996.28,52,15.48
1766169170659,942.90,3045.68,53,15.48
1766169170734,946.45,3115.12,55,15.48
1766169170742,928.85,3121.88,55,15.48
1766169170790,941.23,3159.76,56,15.48
1766169170843,942.99,3204.89,57,15.48
1766169170894,943.32,3252.39,58,15.48
1766169170945,943.20,3293.84,59,15.99
1766169171003,940.63,3343.92,60,15.99
1766169171055,942.80,3386.22,61,15.99
1766169171109,941.24,3435.43,62,15.99
1766169171159,942.79,3475.32,63,16.57
1766169171191,942.86,3498.41,63,16.57
1766169171244,940.17,3540.41,64,18.08
1766169171298,943.21,3588.21,65,18.64
1766169171405,944.16,3658.36,67,18.64
1766169171458,943.37,3692.62,68,18.64
1766169171513,943.40,3728.67,69,20.72
1766169171539,930.75,3754.55,70,20.72
1766169171592,942.42,3788.46,71,20.72
1766169171646,933.65,3825.88,72,21.23
1766169171702,947.60,3859.27,73,21.23
1766169171741,942.14,3880.83,74,21.23
1766169171795,942.01,3915.31,75,21.23
1766169171854,944.60,3954.87,76,21.23
1766169171889,948.93,3973.58,76,21.23
1766169171942,949.24,4006.95,77,21.23
1766169171991,942.14,4030.36,78,21.23
1766169172045,980.96,4101.41,79,21.78
1766169172144,1085.88,4239.23,80,22.29
1766169172189,1004.45,4241.13,81,22.29
1766169172279,1004.55,4338.36,82,22.29
1766169172298,1075.44,4409.24,82,22.29
1766169172359,1012.87,4436.69,83,22.29
1766169172395,1110.84,4534.67,83,22.29
1766169172452,1041.88,4559.27,84,22.29
1766169172529,1026.18,4637.00,85,22.29
1766169172564,1065.15,4675.97,85,22.29
1766169172615,1026.53,4737.55,86,22.81
1766169172639,1095.24,4806.26,86,22.81
1766169172711,1029.15,4838.53,87,22.81
1766169172748,1127.94,4937.32,87,22.81
1766169172804,1029.44,4939.79,88,22.81
1766169172841,1130.76,5041.11,88,22.81
1766169172891,1038.93,5041.45,89,23.32
1766169172984,1046.36,5144.64,90,23.32
1766169172999,1092.07,5190.34,90,23.32
1766169173071,1056.05,5248.90,91,24.83
1766169173092,1121.14,5313.99,91,24.83
1766169173165,1055.58,5352.05,92,24.83
1766169173189,1126.26,5422.72,92,24.83
1766169173259,1055.54,5455.77,93,24.83
1766169173295,1159.17,5559.40,93,24.83
1766169173361,1078.21,5582.13,94,24.83
1766169173391,1159.23,5663.15,94,24.83
1766169173442,1066.03,5671.49,95,26.39
1766169173532,1058.41,5772.45,96,26.39
1766169173547,1102.85,5816.89,96,26.39
1766169173620,1063.30,5878.55,97,26.39
1766169173658,1166.12,5981.37,97,26.39
1766169173714,1061.50,5981.51,98,26.39
1766169173748,1162.42,6082.42,98,26.39
1766169173807,1061.54,6085.83,99,26.39
1766169173842,1165.94,6190.23,99,26.39
1766169173917,1068.30,6190.55,100,26.39
1766169173989,1074.54,6295.22,101,26.39
1766169173989,1074.59,6295.27,101,26.39
1766169174082,1083.07,6400.91,102,26.39
1766169174106,1157.89,6475.72,102,26.39
1766169174191,1083.97,6507.37,103,27.91
1766169174191,1084.39,6507.79,103,27.91
1766169174275,1092.72,6614.07,104,27.91
1766169174312,1199.82,6721.17,104,27.91
1766169174369,1095.03,6721.50,105,28.42
1766169174399,1183.72,6810.18,105,28.42
1766169174464,1100.50,6834.29,106,28.42
1766169174502,1202.72,6936.51,106,28.42
1766169174567,1095.22,6936.59,107,28.42
1766169174595,1175.52,7016.89,107,28.42
1766169174665,1100.69,7044.38,108,28.42
1766169174691,1181.92,7125.61,108,28.42
1766169174784,1103.62,7152.57,109,29.42
1766169174818,1143.72,7192.68,109,29.42
1766169174884,1103.81,7260.94,110,29.42
1766169174899,1143.53,7300.66,110,29.42
1766169174993,1136.08,7401.51,111,29.42
1766169174993,1136.29,7401.71,111,29.42
1766169175090,1103.92,7477.69,112,29.42
1766169175092,1140.11,7513.88,112,29.42
1766169175227,1212.36,7694.53,113,29.42
1766169175386,1114.11,7804.57,115,29.42
1766169175429,1222.12,7912.59,115,29.42
1766169175502,1113.38,7912.66,116,30.43
1766169175518,1113.38,7912.66,116,30.43
1766169175542,1187.78,7987.07,116,30.43
1766169175621,1113.45,8021.98,117,30.43
1766169175641,1176.67,8085.20,117,30.43
1766169175721,1123.92,8131.33,118,30.43
1766169175762,1178.91,8186.32,118,30.43
1766169175828,1125.00,8241.75,119,30.43
1766169175846,1164.45,8281.21,119,30.43
1766169175936,1128.23,8352.28,120,30.43
1766169175951,1170.62,8394.67,120,30.43
1766169176044,1128.67,8463.02,121,30.43
1766169176044,1128.70,8463.04,121,30.43
1766169176145,1128.91,8573.82,122,30.43
1766169176146,1128.95,8573.85,122,30.43
1766169176247,1128.94,8684.64,123,30.43
1766169176247,1128.98,8684.68,123,30.43
1766169176348,1129.49,8795.59,124,30.43
1766169176349,1129.75,8795.84,124,30.43
1766169176449,1129.82,8906.52,125,30.94
1766169176449,1129.82,8906.52,125,30.94
1766169176489,1240.77,9017.47,125,30.94
1766169176557,1138.27,9018.84,126,30.94
1766169176647,1148.20,9130.60,127,31.44
1766169176648,1148.29,9130.69,127,31.44
1766169176689,1260.93,9243.33,127,31.44
1766169176764,1148.31,9243.80,128,31.44
1766169176848,1154.55,9356.13,129,31.44
1766169176849,1154.56,9356.13,129,31.44
1766169176888,1267.76,9469.34,129,31.44
1766169176959,1161.14,9475.48,130,31.44
1766169176989,1253.34,9567.68,130,31.44
1766169177053,1164.87,9583.21,131,31.44
1766169177094,1278.83,9697.17,131,31.44
1766169177153,1165.36,9697.26,132,31.44
1766169177193,1279.65,9811.55,132,31.44
1766169177264,1166.44,9812.63,133,31.44
1766169177291,1280.08,9926.27,133,31.44
1766169177359,1196.13,9954.92,134,31.44
1766169177391,1283.86,10042.64,134,31.44
1766169177449,1168.71,10043.14,135,31.44
1766169177492,1279.13,10153.55,135,31.44
1766169177569,1168.25,10157.43,136,31.44
1766169177592,1282.64,10271.82,136,31.44
1766169177653,1169.24,10273.04,137,31.44
1766169177858,1176.35,10502.60,139,31.44
1766169177896,1290.97,10617.21,139,31.44
1766169177966,1175.77,10617.30,140,32.98
1766169178003,1291.17,10732.71,140,32.98
1766169178068,1182.36,10732.73,141,32.98
1766169178092,1262.09,10812.45,141,32.98
1766169178173,1182.98,10848.77,142,34.49
1766169178207,1256.61,10922.40,142,34.49
1766169178275,1183.11,10964.94,143,34.99
1766169178299,1260.27,11042.11,143,34.99
1766169178375,1192.08,11081.08,144,34.99
1766169178401,1276.54,11165.54,144,34.99
1766169178477,1192.96,11198.09,145,36.51
1766169178489,1238.71,11243.85,145,36.51
1766169178579,1200.20,11315.27,146,36.51
1766169178604,1250.12,11365.20,146,36.51
1766169178687,1200.80,11433.05,147,36.51
1766169178688,1204.66,11436.92,147,36.51
1766169178792,1206.37,11550.92,148,36.51
1766169178800,1210.82,11555.37,148,36.51
1766169178838,1324.85,11669.40,148,36.51
1766169178905,1214.79,11669.99,149,37.01
1766169178939,1333.34,11788.55,149,37.01
1766169179001,1224.16,11797.05,150,38.53
1766169179039,1335.02,11907.92,150,38.53
1766169179139,1348.03,12029.86,151,38.53
1766169179536,1381.98,12519.32,155,38.53
1766169179579,1268.11,12520.64,156,38.53
1766169179703,1280.38,12648.83,157,38.53
1766169179741,1396.63,12765.08,157,38.53
1766169179845,1407.34,12896.86,158,39.03
1766169179913,1281.57,12897.02,159,39.03
1766169179949,1393.10,13008.55,159,39.03
1766169180017,1281.66,13022.88,160,39.03
1766169180059,1373.42,13114.64,160,39.03
1766169180109,1287.67,13148.68,161,39.03
1766169180140,1337.18,13198.18,161,39.03
1766169180238,1311.67,13298.49,162,39.03
1766169180255,1377.61,13364.43,162,39.03
1766169180342,1288.39,13401.53,163,39.03
1766169180342,1288.63,13401.77,163,39.03
1766169180444,1288.44,13527.98,164,39.03
1766169180446,1288.45,13527.98,164,39.03
1766169180491,1414.79,13654.33,164,39.03
1766169180571,1290.48,13655.10,165,39.03
1766169180595,1411.43,13776.05,165,39.03
1766169180665,1290.76,13781.73,166,39.03
1766169180707,1417.67,13908.64,166,39.03
1766169180778,1296.73,13908.87,167,39.03
1766169180801,1340.91,13953.05,167,39.03
1766169180890,1297.08,14036.11,168,39.03
1766169180890,1297.08,14036.12,168,39.03
1766169181003,1297.05,14163.33,169,39.03
1766169181005,1297.65,14163.92,169,39.03
1766169181049,1423.00,14289.28,169,39.03
1766169181116,1300.96,14290.71,170,39.03
1766169181160,1428.54,14418.29,170,39.03
1766169181227,1304.14,14418.45,171,39.03
1766169181239,1348.98,14463.30,171,39.03
1766169181334,1312.97,14546.52,172,39.03
1766169181359,1360.78,14594.34,172,39.03
1766169181429,1313.79,14675.41,173,39.03
1766169181468,1341.26,14702.88,173,39.03
1766169181491,1418.25,14779.87,173,39.03
1766169181607,1314.95,14805.35,174,39.03
1766169181632,1389.66,14880.05,174,39.03
1766169181711,1337.76,14956.74,175,39.03
1766169181711,1337.76,14956.74,175,39.03
1766169181757,1437.09,15056.08,175,39.03
1766169181876,1456.21,15192.67,176,40.55
1766169182267,1352.22,15590.24,180,41.06
1766169182303,1432.70,15670.72,180,41.06
1766169182375,1362.39,15722.40,181,41.06
1766169182420,1495.98,15855.99,181,41.06
1766169182486,1363.39,15856.10,182,41.06
1766169182502,1414.66,15907.36,182,41.06
1766169182599,1363.77,15989.97,183,41.06
1766169182599,1363.83,15990.03,183,41.06
1766169182646,1497.49,16123.69,183,41.06
1766169182712,1363.73,16123.80,184,41.06
1766169182753,1481.06,16241.13,184,41.06
1766169182827,1363.94,16257.61,185,41.06
1766169182839,1406.89,16300.56,185,41.06
1766169182937,1375.40,16391.53,186,41.06
1766169182952,1427.61,16443.73,186,41.06
1766169183050,1376.44,16526.49,187,41.06
1766169183050,1376.44,16526.49,187,41.06
1766169183098,1511.40,16661.45,187,41.06
1766169183163,1376.69,16661.59,188,41.06
1766169183192,1470.15,16755.04,188,41.06
1766169183278,1378.73,16796.72,189,41.06
1766169183300,1447.16,16865.15,189,41.06
1766169183389,1388.49,16932.05,190,41.06
