ts_ms,heap_mb,total_mb,num_gc,pause_ms
1766168250169,944.55,955.50,8,0.64
1766168250230,941.20,990.14,9,0.64
1766168250269,930.43,1031.20,10,0.64
1766168250330,939.88,1051.42,11,0.64
1766168250380,940.86,1090.41,11,0.64
1766168250450,935.70,1133.29,12,0.64
1766168250468,932.87,1145.91,13,0.64
1766168250522,940.61,1184.53,13,0.64
1766168250591,940.69,1232.81,14,2.16
1766168250664,929.89,1269.84,15,2.16
1766168250665,942.59,1282.54,15,2.16
1766168250736,942.33,1330.28,16,2.16
1766168250768,929.93,1365.74,17,2.16
1766168250821,943.48,1390.47,18,3.69
1766168250878,941.96,1425.71,18,3.69
1766168250949,941.55,1475.15,19,4.21
1766168250969,934.17,1483.25,20,5.72
1766168251023,940.59,1520.97,20,5.72
1766168251092,936.31,1564.74,21,5.72
1766168251125,929.79,1606.31,22,5.72
1766168251167,943.69,1620.22,22,5.72
1766168251234,943.78,1667.87,23,7.24
1766168251266,930.20,1702.06,24,7.24
1766168251330,938.58,1722.55,25,7.24
1766168251373,942.79,1762.53,25,7.24
1766168251438,940.62,1807.36,26,7.24
1766168251473,930.44,1843.10,27,7.24
1766168251515,943.84,1856.50,27,7.24
1766168251592,939.90,1900.54,28,7.24
1766168251618,945.91,1920.72,29,7.24
1766168251665,942.73,1949.65,29,7.24
1766168251738,943.12,1998.97,30,7.24
1766168251807,935.39,2038.34,31,7.24
1766168251825,952.28,2064.88,32,7.24
1766168251869,938.98,2088.28,32,7.24
1766168251945,937.75,2134.45,33,7.24
1766168251976,927.31,2171.09,34,7.24
1766168252015,942.17,2185.96,34,7.24
1766168252092,940.22,2228.66,35,7.24
1766168252117,946.81,2251.59,36,7.75
1766168252166,942.20,2278.83,36,7.75
1766168252215,936.47,2318.49,37,8.26
1766168252266,927.43,2356.85,38,8.79
1766168252326,943.05,2388.38,39,8.79
1766168252374,942.57,2416.74,39,8.79
1766168252441,940.01,2461.82,40,8.79
1766168252493,930.51,2498.36,41,10.73
1766168252523,941.32,2509.18,41,10.73
1766168252604,942.10,2557.29,42,11.24
1766168252620,940.81,2568.69,43,11.24
1766168252675,942.26,2602.17,43,11.24
1766168252749,940.90,2648.28,44,11.24
1766168252768,946.50,2667.06,45,11.24
1766168252818,942.33,2693.90,45,11.24
1766168252889,941.13,2741.71,46,11.24
1766168252920,929.57,2775.77,47,11.75
1766168252982,934.32,2804.15,48,11.75
1766168253030,942.55,2835.36,48,11.75
1766168253100,942.68,2879.91,49,11.75
1766168253116,935.86,2889.96,50,11.75
1766168253170,942.92,2927.90,50,11.75
1766168253238,943.07,2961.28,51,11.75
1766168253291,946.51,3003.08,52,12.26
1766168253340,1006.19,3062.76,52,12.26
1766168253389,990.61,3096.16,53,12.81
1766168253437,1044.34,3149.90,53,12.81
1766168253489,997.45,3193.64,54,12.81
1766168253524,1073.24,3269.43,54,12.81
1766168253589,1000.93,3291.71,55,12.81
1766168253627,1053.20,3343.98,55,12.81
1766168253693,1004.18,3390.11,56,12.81
1766168253734,1061.70,3447.62,56,12.81
1766168253798,1004.49,3488.78,57,12.81
1766168253840,1063.27,3547.56,57,12.81
1766168253902,1005.82,3587.53,58,12.81
1766168253921,1048.19,3629.89,58,12.81
1766168254005,1005.94,3686.35,59,12.81
1766168254032,1035.52,3715.94,59,12.81
1766168254109,1006.00,3785.18,60,12.81
1766168254151,1046.52,3825.69,60,12.81
1766168254213,1005.99,3883.95,61,12.81
1766168254216,1006.17,3884.13,61,12.81
1766168254266,1104.00,3981.96,61,12.81
1766168254344,1007.11,3983.78,62,12.81
1766168254368,1097.36,4074.04,62,12.81
1766168254475,1104.30,4179.68,63,12.81
1766168254537,1006.36,4180.50,64,12.81
1766168254586,1066.86,4240.99,64,12.81
1766168254648,1006.35,4279.30,65,12.81
1766168254681,1036.54,4309.49,65,12.81
1766168254740,1009.92,4378.25,66,12.81
1766168254769,1037.01,4405.34,66,12.81
1766168254860,1019.12,4477.45,67,12.81
1766168254873,1045.96,4504.29,67,12.81
1766168254967,1024.29,4577.60,68,12.81
1766168254967,1024.35,4577.66,68,12.81
1766168255016,1124.27,4677.58,68,12.81
1766168255073,1025.22,4678.66,69,12.81
1766168255124,1120.66,4774.09,69,12.81
1766168255166,1027.26,4779.03,70,12.81
1766168255222,1119.24,4871.01,70,12.81
1766168255278,1033.16,4879.84,71,12.81
1766168255324,1121.19,4967.87,71,12.81
1766168255410,1057.50,5002.31,72,12.81
1766168255426,1135.62,5080.43,72,12.81
1766168255485,1047.09,5084.47,73,12.81
1766168255523,1139.91,5177.28,73,12.81
1766168255629,1150.63,5290.34,74,12.81
1766168255629,1150.68,5290.39,74,12.81
1766168255720,1060.20,5300.38,75,12.81
1766168255720,1112.12,5352.29,75,12.81
1766168255841,1144.37,5487.48,76,12.81
1766168255841,1144.56,5487.67,76,12.81
1766168255905,1050.56,5496.81,77,12.81
1766168255945,1078.30,5524.55,77,12.81
1766168256014,1054.69,5599.98,78,12.81
1766168256057,1100.10,5645.39,78,12.81
1766168256064,1157.70,5702.99,78,12.81
1766168256169,1159.34,5806.20,79,14.32
1766168256254,1066.80,5817.26,80,14.32
1766168256283,1159.92,5910.38,80,14.32
1766168256343,1056.94,5911.09,81,14.32
1766168256395,1160.09,6014.24,81,14.32
1766168256455,1057.88,6014.90,82,14.84
1766168256468,1089.21,6046.23,82,14.84
1766168256566,1059.30,6118.82,83,14.84
1766168256566,1059.31,6118.82,83,14.84
1766168256615,1162.93,6222.45,83,14.84
1766168256675,1066.55,6222.99,84,14.84
1766168256720,1158.80,6315.23,84,14.84
1766168256788,1069.87,6327.63,85,14.84
1766168256832,1140.71,6398.46,85,14.84
1766168256898,1070.14,6432.63,86,14.84
1766168256922,1123.24,6485.73,86,14.84
1766168257009,1070.20,6537.67,87,14.84
1766168257028,1111.71,6579.19,87,14.84
1766168257120,1070.20,6642.70,88,14.84
1766168257120,1070.20,6642.70,88,14.84
1766168257170,1174.84,6747.33,88,14.84
1766168257256,1088.81,6758.02,89,16.53
1766168257279,1182.44,6851.65,89,16.53
1766168257341,1079.34,6853.65,90,16.53
1766168257365,1132.89,6907.19,90,16.53
1766168257453,1079.43,6959.56,91,16.53
1766168257468,1112.64,6992.77,91,16.53
1766168257562,1079.48,7065.50,92,16.53
1766168257579,1114.27,7100.29,92,16.53
1766168257674,1079.49,7171.45,93,16.53
1766168257674,1079.49,7171.45,93,16.53
1766168257724,1183.53,7275.48,93,16.53
1766168257786,1079.44,7277.34,94,16.53
1766168257839,1183.89,7381.79,94,16.53
1766168257902,1085.84,7383.37,95,17.05
1766168257922,1121.68,7419.21,95,17.05
1766168258017,1086.35,7489.90,96,17.05
1766168258017,1086.38,7489.93,96,17.05
