ts_ms,heap_mb,total_mb,num_gc,pause_ms
1766168790125,966.56,1017.51,8,3.06
1766168790162,1060.89,1111.84,8,3.06
1766168790235,1072.73,1208.04,9,4.58
1766168790396,1073.89,1400.21,11,6.08
1766168790483,1074.11,1496.39,12,6.08
1766168790522,978.49,1496.88,13,6.08
1766168790559,1074.31,1592.70,13,6.08
1766168790609,978.71,1593.03,14,6.08
1766168790682,978.40,1688.99,15,6.08
1766168790711,1036.83,1747.42,15,6.08
1766168790777,978.53,1785.11,16,6.08
1766168790809,1057.03,1863.61,16,6.08
1766168790858,978.93,1881.63,17,6.08
1766168790947,978.65,1977.63,18,6.08
1766168790985,1074.67,2073.64,18,6.08
1766168791031,978.80,2073.89,19,6.08
1766168791071,1071.92,2167.01,19,6.08
1766168791123,978.78,2170.07,20,6.08
1766168791160,1074.85,2266.15,20,6.08
1766168791204,979.60,2267.02,21,6.08
1766168791292,978.84,2362.51,22,6.08
1766168791319,1020.54,2404.21,22,6.08
1766168791374,979.01,2458.76,23,6.08
1766168791412,1075.11,2554.87,23,6.08
1766168791465,990.39,2566.35,24,6.08
1766168791501,1075.12,2651.08,24,6.08
1766168791579,1075.03,2747.22,25,6.08
1766168791632,979.63,2748.03,26,6.08
1766168791654,1039.28,2807.68,26,6.08
1766168791714,979.09,2843.63,27,6.08
1766168791751,1075.28,2939.82,27,6.08
1766168791802,979.78,2940.43,28,6.08
1766168791885,979.16,3036.15,29,6.08
1766168791908,1042.23,3099.22,29,6.08
1766168791975,979.23,3132.32,30,6.08
1766168792012,1075.20,3228.29,30,6.08
1766168792071,979.75,3228.97,31,6.08
1766168792146,979.29,3324.77,32,6.08
1766168792160,1022.12,3367.59,32,6.08
1766168792228,979.34,3420.95,33,6.08
1766168792254,1051.00,3492.61,33,6.08
1766168792316,979.66,3517.42,34,6.08
1766168792353,1075.51,3613.28,34,6.08
1766168792433,1075.34,3709.34,35,6.08
1766168792487,979.38,3709.61,36,6.08
1766168792503,1026.54,3756.77,36,6.08
1766168792571,979.47,3805.80,37,6.08
1766168792609,1075.46,3901.79,37,6.08
1766168792662,980.59,3903.09,38,6.08
1766168792744,979.40,3998.08,39,6.08
1766168792758,1021.45,4040.13,39,6.08
1766168792835,979.67,4094.39,40,6.08
1766168792858,1041.08,4155.80,40,6.08
1766168792921,979.61,4190.61,41,6.08
1766168792956,1074.96,4285.97,41,6.08
1766168793014,983.22,4290.42,42,6.08
1766168793092,991.07,4394.45,43,6.08
1766168793103,1025.55,4428.93,43,6.08
1766168793179,979.87,4479.38,44,15.66
1766168793206,1049.81,4549.32,44,15.66
1766168793261,993.82,4576.48,45,15.66
1766168793329,994.26,4673.19,46,15.66
1766168793369,1014.71,4693.63,46,15.66
1766168793472,1095.69,4864.05,47,15.66
1766168793526,1003.62,4864.86,48,33.90
1766168793563,1101.35,4962.59,48,33.90
1766168793612,1006.15,4962.98,49,33.90
1766168793705,1022.92,5074.18,50,33.90
1766168793705,1023.07,5074.33,50,33.90
1766168793789,1010.65,5160.64,51,33.90
1766168793802,1047.87,5197.85,51,33.90
1766168793881,1015.69,5259.88,52,33.90
1766168793908,1091.72,5335.90,52,33.90
1766168793964,1022.75,5359.78,53,33.90
1766168794003,1123.18,5460.21,53,33.90
1766168794070,1026.91,5461.21,54,33.90
1766168794154,1032.26,5562.26,55,33.90
1766168794154,1076.24,5606.24,55,33.90
1766168794232,1031.56,5662.75,56,33.90
1766168794256,1100.31,5731.50,56,33.90
1766168794320,1031.60,5764.06,57,33.90
1766168794358,1132.89,5865.35,57,33.90
1766168794409,1032.52,5865.84,58,33.90
1766168794497,1032.02,5966.66,59,33.90
1766168794512,1077.76,6012.39,59,33.90
1766168794589,1032.03,6067.94,60,33.90
1766168794613,1103.58,6139.49,60,33.90
1766168794711,1133.44,6270.60,61,33.90
1766168794853,1037.71,6375.33,63,33.90
1766168794943,1034.55,6473.65,64,33.90
1766168794980,1135.93,6575.03,64,33.90
1766168795033,1034.60,6575.21,65,33.90
1766168795061,1109.84,6650.45,65,33.90
1766168795128,1034.70,6676.73,66,33.90
1766168795151,1100.80,6742.83,66,33.90
1766168795218,1039.25,6778.32,67,33.90
1766168795255,1141.15,6880.22,67,33.90
1766168795326,1040.30,6880.95,68,33.90
1766168795399,1039.84,6982.24,69,33.90
1766168795412,1078.38,7020.78,69,33.90
1766168795489,1039.86,7084.25,70,33.90
1766168795519,1127.07,7171.45,70,33.90
1766168795579,1048.29,7186.37,71,33.90
1766168795601,1113.58,7251.66,71,33.90
1766168795670,1049.05,7289.25,72,33.90
1766168795708,1142.56,7382.75,72,33.90
1766168795761,1049.26,7392.32,73,33.90
1766168795854,1049.08,7495.09,74,33.90
1766168795854,1049.09,7495.09,74,33.90
1766168795949,1054.35,7598.30,75,35.42
1766168795967,1109.18,7653.13,75,35.42
1766168796039,1054.62,7701.73,76,35.42
1766168796054,1097.25,7744.36,76,35.42
1766168796114,1054.84,7805.37,77,35.42
1766168796170,1155.99,7906.52,77,35.42
1766168796229,1054.72,7908.65,78,35.42
1766168796252,1116.90,7970.83,78,35.42
1766168796322,1054.68,8012.06,79,35.42
1766168796357,1152.35,8109.73,79,35.42
1766168796431,1067.06,8118.87,80,35.92
1766168796450,1167.30,8219.11,80,35.92
1766168796540,1169.27,8324.35,81,35.92
1766168796612,1065.59,8325.00,82,35.92
1766168796612,1115.59,8375.01,82,35.92
1766168796684,1074.79,8428.95,83,35.92
1766168796709,1147.35,8501.51,83,35.92
1766168796779,1075.64,8534.36,84,35.92
1766168796814,1144.44,8603.16,84,35.92
1766168796870,1075.66,8639.80,85,35.92
1766168796903,1167.51,8731.65,85,35.92
1766168796965,1076.84,8746.41,86,35.92
1766168797003,1181.23,8850.80,86,35.92
1766168797094,1184.71,8957.26,87,35.92
1766168797239,1086.42,9064.32,89,35.92
1766168797260,1150.82,9128.72,89,35.92
1766168797331,1092.21,9170.45,90,35.92
1766168797367,1161.83,9240.07,90,35.92
1766168797459,1203.92,9385.14,91,35.92
1766168797543,1205.10,9484.36,92,35.92
1766168797599,1106.81,9493.67,93,35.92
1766168797624,1174.59,9561.45,93,35.92
1766168797694,1106.87,9602.21,94,35.92
1766168797705,1143.95,9639.29,94,35.92
1766168797788,1106.88,9710.76,95,35.92
1766168797812,1176.60,9780.48,95,35.92
1766168797919,1215.45,9927.75,96,35.92
1766168798005,1196.74,10017.56,97,35.92
1766168798106,1215.55,10144.96,98,35.92
1766168798161,1116.65,10145.36,99,35.92
1766168798200,1226.07,10254.78,99,35.92
1766168798259,1127.59,10255.53,100,35.92
1766168798349,1137.14,10365.38,101,35.92
1766168798362,1174.24,10402.47,101,35.92
1766168798447,1138.18,10476.98,102,35.92
1766168798459,1181.66,10520.46,102,35.92
1766168798542,1138.15,10588.55,103,35.92
1766168798570,1185.87,10636.28,103,35.92
1766168798635,1146.69,10700.19,104,35.92
1766168798663,1196.12,10749.63,104,35.92
1766168798731,1147.70,10812.66,105,35.92
1766168798761,1236.47,10901.43,105,35.92
1766168798826,1147.80,10925.22,106,35.92
1766168798852,1221.56,10998.97,106,35.92
1766168798924,1150.85,11039.08,107,36.44
1766168798965,1264.81,11153.04,107,36.44
1766168799029,1166.75,11161.76,108,36.44
1766168799054,1243.88,11238.89,108,36.44
1766168799124,1157.91,11269.44,109,36.44
1766168799171,1257.81,11369.34,109,36.44
1766168799229,1173.16,11383.09,110,36.44
1766168799268,1280.02,11489.95,110,36.44
1766168799328,1174.70,11498.28,111,36.44
1766168799351,1246.72,11570.30,111,36.44
1766168799425,1174.67,11613.44,112,36.44
1766168799453,1251.87,11690.64,112,36.44
1766168799528,1174.80,11728.72,113,36.44
1766168799568,1266.73,11820.65,113,36.44
1766168799625,1184.90,11843.98,114,36.44
1766168799660,1282.02,11941.10,114,36.44
1766168799728,1197.06,11960.51,115,36.44
1766168799763,1269.96,12033.41,115,36.44
1766168799824,1206.47,12078.15,116,36.44
1766168799860,1309.25,12180.94,116,36.44
1766168799923,1207.37,12196.69,117,36.44
1766168799963,1287.79,12277.11,117,36.44
1766168800023,1210.92,12315.15,118,36.44
1766168800074,1321.37,12425.60,118,36.44
1766168800131,1211.48,12434.02,119,37.95
1766168800173,1330.26,12552.80,119,37.95
1766168800231,1212.17,12552.84,120,37.95
1766168800274,1285.42,12626.09,120,37.95
1766168800333,1212.35,12671.84,121,37.95
1766168800376,1330.99,12790.48,121,37.95
1766168800434,1212.17,12790.66,122,37.95
1766168800462,1294.73,12873.21,122,37.95
1766168800535,1212.40,12909.65,123,37.95
1766168800563,1267.13,12964.38,123,37.95
1766168800634,1212.21,13028.46,124,37.95
