ts_ms,heap_mb,total_mb,num_gc,pause_ms
1766168976411,937.80,984.19,9,1.51
1766168976455,943.94,1002.94,10,1.51
1766168976509,939.91,1053.55,11,1.51
1766168976564,940.79,1123.20,12,1.51
1766168976613,939.70,1147.36,13,1.51
1766168976667,939.28,1196.52,14,1.51
1766168976719,935.54,1242.00,15,1.51
1766168976767,938.03,1288.48,16,1.51
1766168976803,942.34,1328.40,16,1.51
1766168976859,942.42,1375.19,17,1.51
1766168976910,942.15,1422.23,18,1.51
1766168976967,942.61,1469.79,19,1.51
1766168977019,942.58,1516.28,20,1.51
1766168977073,939.13,1560.19,21,3.03
1766168977126,942.63,1610.00,22,3.03
1766168977155,928.95,1644.95,23,3.03
1766168977205,929.27,1691.88,24,3.03
1766168977262,929.59,1739.69,25,3.54
1766168977312,937.59,1784.22,26,3.54
1766168977361,940.41,1811.64,27,3.54
1766168977415,942.13,1861.81,28,4.05
1766168977469,940.58,1904.58,29,4.05
1766168977502,942.54,1937.97,29,4.05
1766168977554,942.63,1985.25,30,4.05
1766168977610,942.45,2029.70,31,4.05
1766168977661,942.30,2076.97,32,4.56
1766168977718,942.10,2121.39,33,4.56
1766168977768,942.30,2170.32,34,4.56
1766168977825,941.81,2216.22,35,4.56
1766168977876,941.93,2261.40,36,4.56
1766168977906,928.08,2294.72,37,4.56
1766168977955,942.15,2325.22,38,4.56
1766168978013,927.67,2386.34,39,4.56
1766168978056,945.41,2417.81,40,6.07
1766168978112,942.51,2461.72,41,6.07
1766168978161,940.44,2505.32,42,6.07
1766168978205,942.51,2544.46,43,6.59
1766168978253,942.47,2582.98,43,6.59
1766168978304,942.42,2628.99,44,6.59
1766168978361,943.88,2675.27,45,6.59
1766168978413,940.86,2719.30,46,6.59
1766168978460,939.02,2762.44,47,6.59
1766168978520,942.51,2813.34,48,6.59
1766168978575,942.65,2857.65,49,6.59
1766168978625,942.76,2904.90,50,6.59
1766168978655,929.75,2936.36,51,6.59
1766168978704,948.45,2977.12,52,8.17
1766168978753,944.14,3013.64,53,8.17
1766168978809,937.06,3060.70,54,8.17
1766168978863,943.98,3110.68,55,8.17
1766168978917,938.42,3154.81,56,9.18
1766168978970,944.50,3199.63,57,9.18
1766168979003,942.55,3223.51,57,9.18
1766168979053,943.48,3269.51,58,9.70
1766168979108,942.63,3313.88,59,9.70
1766168979155,940.54,3356.82,60,9.70
1766168979214,942.71,3405.65,61,9.70
1766168979265,941.56,3448.54,62,9.70
1766168979322,943.10,3497.64,63,9.70
1766168979373,942.69,3541.03,64,11.22
1766168979420,986.66,3632.30,65,11.22
1766168979479,958.36,3647.77,66,14.30
1766168979511,1044.46,3733.87,66,14.30
1766168979565,1019.52,3768.04,67,14.30
1766168979646,1003.20,3840.66,68,14.30
1766168979686,1101.85,3939.31,68,14.30
1766168979731,1011.85,3939.43,69,14.82
1766168979752,1073.04,4000.62,69,14.82
1766168979839,1018.39,4042.26,70,14.82
1766168979855,1117.36,4141.23,70,14.82
1766168979936,1123.41,4242.07,71,14.82
1766168979988,1030.17,4245.48,72,14.82
1766168980004,1075.44,4290.75,72,14.82
1766168980071,1034.37,4344.61,73,14.82
1766168980106,1128.51,4438.75,73,14.82
1766168980158,1044.75,4447.48,74,14.82
1766168980246,1044.80,4549.04,75,14.82
1766168980260,1087.45,4591.68,75,14.82
1766168980372,1148.59,4755.38,76,14.82
1766168980778,1076.99,5175.58,81,14.82
1766168980812,1170.40,5268.99,81,14.82
1766168980893,1150.44,5354.00,82,14.82
1766168980907,1183.00,5386.56,82,14.82
1766168980960,1090.39,5399.01,83,14.82
1766168981052,1086.29,5493.61,84,14.82
1766168981052,1086.29,5493.61,84,14.82
1766168981142,1095.38,5600.56,85,14.82
1766168981181,1203.11,5708.30,85,14.82
1766168981231,1102.85,5708.32,86,16.53
1766168981255,1172.68,5778.15,86,16.53
1766168981322,1104.12,5816.80,87,16.53
1766168981360,1208.42,5921.10,87,16.53
1766168981415,1104.24,5925.39,88,16.53
1766168981455,1212.52,6033.67,88,16.53
1766168981506,1105.13,6034.74,89,16.53
1766168981602,1104.07,6142.13,90,16.53
1766168981629,1177.11,6215.17,90,16.53
1766168981699,1104.25,6250.71,91,16.53
1766168981711,1145.01,6291.48,91,16.53
1766168981799,1104.11,6359.13,92,16.53
1766168981827,1174.96,6429.99,92,16.53
1766168981900,1113.72,6467.66,93,16.53
1766168981912,1152.77,6506.71,93,16.53
1766168981996,1114.59,6577.04,94,17.08
1766168982008,1152.11,6614.57,94,17.08
1766168982089,1124.66,6686.64,95,17.08
1766168982115,1200.18,6762.16,95,17.08
1766168982183,1125.66,6797.22,96,17.08
1766168982220,1197.06,6868.61,96,17.08
1766168982278,1125.91,6907.78,97,17.08
1766168982318,1236.56,7018.42,97,17.08
1766168982373,1132.66,7018.45,98,17.08
1766168982412,1239.53,7125.33,98,17.08
1766168982467,1133.60,7129.72,99,17.68
1766168982507,1236.31,7232.43,99,17.68
1766168982572,1143.35,7241.57,100,17.68
1766168982603,1255.54,7353.76,100,17.68
1766168982658,1147.38,7356.46,101,18.19
1766168982755,1145.01,7468.08,102,18.19
1766168982755,1145.04,7468.11,102,18.19
1766168982850,1149.93,7580.78,103,18.19
1766168982878,1200.13,7630.98,103,18.19
1766168982966,1216.10,7753.74,104,18.19
1766168982966,1216.67,7754.32,104,18.19
1766168983041,1165.76,7807.70,105,19.20
1766168983053,1204.07,7846.01,105,19.20
1766168983139,1170.97,7922.22,106,19.20
1766168983154,1215.12,7966.38,106,19.20
1766168983237,1171.41,8037.19,107,19.20
1766168983280,1247.16,8112.93,107,19.20
1766168983333,1181.43,8152.45,108,19.20
1766168983374,1261.79,8232.82,108,19.20
1766168983433,1182.30,8268.44,109,19.20
1766168983458,1256.12,8342.25,109,19.20
1766168983531,1182.47,8384.59,110,19.20
1766168983554,1253.98,8456.10,110,19.20
1766168983631,1182.52,8500.79,111,19.20
1766168983661,1270.36,8588.64,111,19.20
1766168983730,1189.91,8617.00,112,19.20
1766168983769,1270.28,8697.37,112,19.20
1766168983829,1190.77,8733.84,113,19.20
1766168983853,1264.67,8807.74,113,19.20
1766168983929,1190.81,8850.72,114,19.20
1766168983955,1272.13,8932.03,114,19.20
1766168984028,1193.49,8967.75,115,19.20
1766168984059,1282.53,9056.79,115,19.20
1766168984129,1193.59,9084.88,116,19.20
1766168984162,1286.89,9178.18,116,19.20
1766168984231,1203.09,9202.24,117,20.71
1766168984274,1321.05,9320.20,117,20.71
1766168984334,1203.84,9320.34,118,20.71
1766168984369,1297.99,9414.49,118,20.71
1766168984435,1211.05,9438.65,119,20.71
1766168984468,1288.58,9516.18,119,20.71
1766168984541,1216.88,9557.65,120,20.71
1766168984555,1266.95,9607.72,120,20.71
1766168984642,1218.75,9677.19,121,20.71
1766168984670,1266.64,9725.09,121,20.71
1766168984747,1222.31,9797.19,122,20.71
1766168984758,1261.92,9836.80,122,20.71
1766168984849,1222.33,9917.18,123,20.71
1766168984859,1259.23,9954.09,123,20.71
1766168984948,1230.42,10037.58,124,20.71
1766168984965,1284.90,10092.06,124,20.71
1766168985051,1231.04,10158.39,125,20.71
1766168985066,1277.08,10204.43,125,20.71
1766168985153,1239.01,10279.33,126,20.71
1766168985153,1239.17,10279.50,126,20.71
1766168985257,1248.47,10401.01,127,20.71
1766168985257,1248.50,10401.04,127,20.71
1766168985303,1371.11,10523.64,127,20.71
1766168985356,1259.68,10524.29,128,20.71
1766168985443,1261.71,10647.37,129,20.71
1766168985471,1283.16,10668.83,129,20.71
1766168985505,1385.35,10771.01,129,20.71
1766168985562,1261.99,10771.32,130,20.71
1766168985604,1385.48,10894.80,130,20.71
1766168985686,1262.08,10895.19,131,20.71
1766168985709,1380.10,11013.21,131,20.71
1766168985812,1385.49,11142.46,132,20.71
1766168985872,1262.82,11143.58,133,20.71
1766168985917,1385.75,11266.51,133,20.71
1766168985974,1270.07,11266.53,134,20.71
1766168986004,1356.30,11352.76,134,20.71
1766168986082,1276.29,11391.34,135,20.71
1766168986107,1352.96,11468.01,135,20.71
1766168986185,1280.98,11516.72,136,20.71
1766168986211,1358.76,11594.50,136,20.71
1766168986293,1283.64,11642.67,137,21.22
1766168986338,1409.66,11768.69,137,21.22
1766168986400,1288.64,11768.73,138,21.22
1766168986415,1335.53,11815.62,138,21.22
1766168986509,1296.09,11895.33,139,21.22
1766168986509,1296.10,11895.33,139,21.22
1766168986555,1423.23,12022.46,139,21.22
1766168986617,1320.86,12046.69,140,21.22
1766168986659,1425.00,12150.84,140,21.22
1766168986725,1325.26,12175.63,141,21.22
1766168986765,1428.56,12278.94,141,21.22
1766168986825,1310.54,12279.23,142,21.22
1766168986872,1439.14,12407.83,142,21.22
1766168986936,1311.28,12407.88,143,21.22
1766168986962,1384.33,12480.93,143,21.22
1766168987049,1311.29,12536.54,144,21.22
1766168987063,1357.50,12582.75,144,21.22
1766168987160,1311.42,12665.22,145,21.22
1766168987161,1311.45,12665.25,145,21.22
1766168987208,1440.09,12793.88,145,21.22
1766168987266,1311.87,12794.12,146,21.22
1766168987307,1429.49,12911.73,146,21.22
1766168987374,1320.38,12922.81,147,21.22
1766168987413,1429.70,13032.14,147,21.22
1766168987468,1321.12,13052.34,148,21.22
1766168987507,1390.68,13121.90,148,21.22
1766168987600,1321.22,13181.94,149,21.22
1766168987619,1372.78,13233.50,149,21.22
1766168987714,1321.26,13311.60,150,21.22
1766168987714,1321.29,13311.64,150,21.22
1766168987754,1430.58,13420.93,150,21.22
1766168987829,1321.23,13441.23,151,21.22
1766168987877,1432.12,13552.12,151,21.22
1766168987939,1326.13,13570.99,152,21.22
1766168987987,1445.98,13690.85,152,21.22
1766168988052,1326.58,13701.21,153,21.73
1766168988052,1326.62,13701.24,153,21.73
1766168988164,1327.71,13831.41,154,21.73
1766168988164,1327.88,13831.58,154,21.73
1766168988213,1457.95,13961.65,154,21.73
1766168988279,1335.46,13963.19,155,21.73
1766168988306,1421.14,14048.87,155,21.73
1766168988388,1343.36,14094.40,156,21.73
1766168988413,1423.52,14174.56,156,21.73
1766168988504,1345.57,14226.24,157,21.73
1766168988504,1345.57,14226.24,157,21.73
1766168988613,1356.09,14359.50,158,21.73
1766168988614,1356.45,14359.86,158,21.73
1766168988664,1468.51,14471.92,158,21.73
1766168988730,1362.97,14492.66,159,21.73
1766168988762,1448.24,14577.93,159,21.73
1766168988845,1366.27,14626.35,160,21.73
1766168988861,1420.04,14680.13,160,21.73
1766168988958,1366.65,14760.42,161,22.73
1766168988958,1366.65,14760.43,161,22.73
1766168989008,1500.49,14894.27,161,22.73
1766168989119,1500.88,15028.72,162,22.73
1766168989188,1395.18,15050.09,163,22.73
1766168989211,1458.49,15113.40,163,22.73
1766168989299,1374.41,15163.53,164,22.73
1766168989318,1425.91,15215.03,164,22.73
1766168989417,1374.47,15298.36,165,22.73
1766168989417,1374.47,15298.36,165,22.73
1766168989464,1508.90,15432.79,165,22.73
1766168989528,1374.39,15433.12,166,22.73
1766168989579,1508.86,15567.59,166,22.73
1766168989649,1374.49,15567.98,167,22.73
1766168989670,1433.31,15626.79,167,22.73
1766168989703,1509.27,15702.76,167,22.73
1766168989781,1418.14,15736.64,168,22.73
1766168989821,1519.98,15838.48,168,22.73
1766168989890,1385.87,15838.75,169,22.73
1766168989903,1424.69,15877.57,169,22.73
1766168990005,1397.90,15974.73,170,22.73
1766168990005,1398.42,15975.24,170,22.73
1766168990058,1534.99,16111.82,170,22.73
1766168990124,1399.72,16112.06,171,22.73
1766168990175,1536.99,16249.33,171,22.73
1766168990243,1401.89,16249.36,172,22.73
1766168990254,1439.96,16287.43,172,22.73
1766168990362,1413.96,16389.99,173,22.73
1766168990362,1413.99,16390.03,173,22.73
1766168990413,1552.49,16528.52,173,22.73
1766168990480,1413.55,16528.85,174,22.73
1766168990506,1494.60,16609.90,174,22.73
1766168990600,1423.37,16667.59,175,24.25
1766168990620,1490.92,16735.14,175,24.25
1766168990652,1562.84,16807.06,175,24.25
1766168990734,1424.57,16807.53,176,24.25
1766168990756,1538.72,16921.68,176,24.25
1766168990836,1436.22,16946.96,177,24.25
1766168990860,1506.48,17017.22,177,24.25
1766168990954,1448.98,17087.90,178,24.25
1766168990954,1449.17,17088.09,178,24.25
1766168991007,1591.21,17230.13,178,24.25
1766168991075,1463.62,17230.24,179,24.25
1766168991111,1562.49,17329.12,179,24.25
1766168991197,1475.40,17373.94,180,24.25
1766168991226,1520.35,17418.89,180,24.25
1766168991322,1476.49,17518.73,181,24.25
1766168991333,1483.51,17525.75,181,24.25
1766168991369,1545.50,17587.74,181,24.25
1766168991455,1481.28,17663.68,182,24.25
1766168991455,1481.28,17663.68,182,24.25
1766168991509,1626.75,17809.15,182,24.25
1766168991579,1492.10,17809.17,183,24.25
1766168991603,1564.07,17881.14,183,24.25
1766168991702,1494.74,17955.72,184,24.25
1766168991702,1494.88,17955.86,184,24.25
1766168991755,1641.44,18102.42,184,24.25
1766168991827,1503.30,18102.53,185,24.25
1766168991860,1599.51,18198.74,185,24.25
1766168991951,1504.40,18250.18,186,24.80
1766168992006,1652.53,18398.32,186,24.80
1766168992076,1507.59,18399.31,187,24.80
1766168992108,1599.77,18491.49,187,24.80
1766168992199,1516.79,18548.01,188,24.80
1766168992212,1564.74,18595.95,188,24.80
1766168992252,1665.61,18696.82,188,24.80
1766168992325,1517.81,18696.85,189,24.80
1766168992377,1666.68,18845.72,189,24.80
1766168992448,1517.92,18845.80,190,24.80
1766168992468,1579.18,18907.06,190,24.80
1766168992502,1666.74,18994.62,190,24.80
1766168992571,1519.11,18995.95,191,25.32
1766168992614,1639.90,19116.73,191,25.32
1766168992697,1517.89,19143.61,192,25.32
1766168992750,1663.19,19288.91,192,25.32
1766168992821,1522.67,19292.73,193,25.32
1766168992823,1522.68,19292.73,193,25.32
1766168992877,1672.04,19442.10,193,25.32
1766168992947,1527.75,19443.15,194,25.32
1766168992966,1589.72,19505.12,194,25.32
1766168993052,1527.15,19592.97,195,25.32
1766168993094,1593.17,19658.99,195,25.32
1766168993120,1667.14,19732.96,195,25.32
1766168993197,1540.95,19742.95,196,25.32
1766168993215,1602.78,19804.78,196,25.32
1766168993325,1546.14,19894.15,197,25.32
1766168993325,1546.25,19894.25,197,25.32
1766168993363,1661.10,20009.10,197,25.32
1766168993449,1546.56,20045.75,198,25.32
1766168993504,1698.37,20197.56,198,25.32
1766168993579,1549.89,20197.68,199,25.32
1766168993616,1653.10,20300.89,199,25.32
1766168993708,1557.76,20350.23,200,25.32
1766168993708,1557.79,20350.26,200,25.32
1766168993759,1696.17,20488.64,200,25.32
1766168993836,1574.71,20505.11,201,25.32
1766168993854,1629.58,20559.98,201,25.32
1766168993965,1574.50,20659.60,202,25.32
1766168993965,1574.50,20659.61,202,25.32
1766168994010,1702.79,20787.89,202,25.32
1766168994095,1574.67,20814.08,203,25.32
1766168994108,1619.76,20859.17,203,25.32
1766168994221,1586.11,20968.66,204,25.83
1766168994235,1586.11,20968.66,204,25.83
1766168994263,1677.70,21060.25,204,25.83
1766168994363,1599.52,21124.53,205,25.83
1766168994363,1599.53,21124.53,205,25.83
1766168994422,1752.37,21277.38,205,25.83
1766168994504,1600.65,21281.54,206,25.83
1766168994505,1600.72,21281.60,206,25.83
1766168994554,1734.60,21415.48,206,25.83
1766168994639,1616.37,21439.04,207,25.83
1766168994655,1663.14,21485.81,207,25.83
1766168994703,1775.10,21597.76,207,25.83
1766168994782,1628.37,21597.79,208,25.83
1766168994821,1732.68,21702.10,208,25.83
1766168994929,1642.54,21757.73,209,25.83
1766168994968,1755.51,21870.70,209,25.83
1766168995072,1643.79,21918.92,210,25.83
1766168995072,1643.79,21918.92,210,25.83
1766168995133,1804.85,22079.98,210,25.83
1766168995220,1643.97,22080.29,211,25.83
1766168995222,1643.98,22080.30,211,25.83
1766168995279,1805.41,22241.73,211,25.83
1766168995367,1651.22,22241.79,212,25.83
1766168995368,1651.23,22241.79,212,25.83
1766168995408,1767.37,22357.94,212,25.83
1766168995511,1651.83,22403.89,213,25.83
1766168995511,1651.83,22403.89,213,25.83
1766168995571,1814.10,22566.16,213,25.83
1766168995664,1688.50,22593.78,214,25.83
1766168995664,1688.50,22593.79,214,25.83
1766168995706,1804.36,22709.64,214,25.83
1766168995804,1661.64,22729.23,215,27.35
1766168995804,1661.64,22729.24,215,27.35
1766168995868,1824.61,22892.20,215,27.35
1766168995951,1661.71,22892.33,216,27.35
1766168995954,1666.75,22897.37,216,27.35
1766168996014,1824.59,23055.21,216,27.35
1766168996099,1661.70,23055.42,217,27.35
1766168996162,1825.14,23218.86,217,27.35
1766168996251,1673.26,23218.96,218,27.35
1766168996255,1690.38,23236.08,218,27.35
1766168996314,1837.49,23383.19,218,27.35
1766168996401,1677.31,23383.22,219,27.35
