ts_ms,heap_mb,total_mb,num_gc,pause_ms
1766167861579,944.66,961.62,8,3.15
1766167861662,943.79,1000.78,9,3.15
1766167861687,940.44,1008.95,10,4.67
1766167861751,942.45,1050.68,10,4.67
1766167861783,939.36,1057.69,11,6.19
1766167861841,941.65,1097.25,11,6.19
1766167861918,939.50,1142.36,12,6.19
1766167861941,939.36,1152.89,13,8.40
1766167862001,936.49,1187.97,13,8.40
1766167862032,929.87,1229.40,14,8.40
1766167862083,943.58,1243.11,14,8.40
1766167862164,942.84,1290.39,15,8.40
1766167862198,929.87,1325.77,16,8.40
1766167862256,942.44,1338.34,16,8.40
1766167862284,929.81,1373.63,17,8.40
1766167862335,943.03,1386.86,17,8.40
1766167862410,937.92,1429.58,18,8.98
1766167862434,939.02,1441.15,19,9.52
1766167862499,939.45,1478.98,19,9.52
1766167862532,929.67,1517.30,20,9.52
1766167862582,942.64,1530.27,20,9.52
1766167862634,933.90,1569.08,21,9.52
1766167862683,937.02,1586.54,22,9.52
1766167862736,939.70,1622.82,22,9.52
1766167862780,929.01,1660.25,23,9.52
1766167862832,942.48,1673.72,23,9.52
1766167862914,942.72,1720.68,24,9.52
1766167862937,939.63,1730.67,25,9.52
1766167862995,942.67,1768.71,25,9.52
1766167863028,929.77,1800.15,26,11.04
1766167863078,942.91,1815.50,26,11.04
1766167863150,939.50,1860.14,27,11.04
1766167863181,940.29,1873.79,28,11.04
1766167863241,942.91,1909.30,28,11.04
1766167863321,942.72,1956.16,29,11.57
1766167863350,929.08,1989.39,30,11.57
1766167863431,926.74,2035.10,31,11.57
1766167863433,926.84,2035.20,31,11.57
1766167863482,942.59,2050.95,31,11.57
1766167863552,940.06,2092.66,32,11.57
1766167863594,927.32,2128.35,33,13.14
1766167863649,943.00,2144.03,33,13.14
1766167863681,931.04,2176.76,34,13.14
1766167863732,942.15,2187.88,34,13.14
1766167863813,940.72,2234.86,35,13.14
1766167863839,944.04,2254.66,36,13.14
1766167863893,942.75,2280.99,36,13.14
1766167863983,943.23,2330.74,37,13.14
1766167863983,943.51,2331.02,37,13.14
1766167864065,940.61,2372.96,38,13.14
1766167864088,945.99,2398.72,39,14.69
1766167864130,938.15,2418.31,39,14.69
1766167864228,942.96,2469.99,40,16.24
1766167864305,942.29,2517.08,41,16.24
1766167864328,942.26,2531.37,42,16.24
1766167864389,942.37,2561.80,42,16.24
1766167864449,935.40,2603.45,43,16.24
1766167864494,940.72,2626.19,44,16.24
1766167864558,942.74,2655.73,44,16.24
1766167864582,932.44,2679.73,45,16.24
1766167864640,944.03,2701.60,45,16.24
1766167864702,965.75,2757.92,46,16.24
1766167864739,1025.98,2818.16,46,16.24
1766167864815,991.44,2852.96,47,16.24
1766167864835,1025.03,2886.56,47,16.24
1766167864877,1088.67,2950.19,47,16.24
1766167864933,994.34,2950.53,48,17.76
1766167864977,1068.42,3024.61,48,17.76
1766167865049,994.59,3048.24,49,17.76
1766167865098,1046.23,3099.89,49,17.76
1766167865173,997.48,3146.02,50,17.76
1766167865219,1032.45,3180.98,50,17.76
1766167865237,1094.07,3242.61,50,17.76
1766167865298,1016.17,3254.22,51,17.76
1766167865349,1105.32,3343.36,51,17.76
1766167865409,1015.84,3343.57,52,18.77
1766167865455,1067.31,3395.04,52,18.77
1766167865529,1021.96,3444.41,53,20.29
1766167865529,1022.04,3444.49,53,20.29
1766167865582,1104.41,3526.86,53,20.29
1766167865659,1031.28,3544.93,54,20.29
1766167865692,1061.72,3575.37,54,20.29
1766167865732,1129.57,3643.22,54,20.29
1766167865797,1032.09,3646.24,55,20.29
1766167865858,1106.25,3720.41,55,20.29
1766167865921,1032.25,3747.67,56,20.29
1766167865971,1079.53,3794.95,56,20.29
1766167865979,1124.72,3840.15,56,20.29
1766167866067,1039.16,3849.55,57,20.29
1766167866119,1123.36,3933.75,57,20.29
1766167866179,1039.35,3951.22,58,20.29
1766167866179,1039.49,3951.35,58,20.29
1766167866240,1135.47,4047.33,58,20.29
1766167866308,1039.45,4053.33,59,20.29
1766167866371,1140.52,4154.39,59,20.29
1766167866431,1041.07,4155.47,60,20.29
1766167866431,1041.07,4155.47,60,20.29
1766167866496,1142.41,4256.81,60,20.29
1766167866558,1048.91,4257.78,61,20.29
1766167866594,1105.53,4314.40,61,20.29
1766167866627,1151.63,4360.50,61,20.29
1766167866749,1151.79,4462.96,62,20.81
1766167866813,1049.80,4463.93,63,20.81
1766167866828,1077.55,4491.68,63,20.81
1766167866879,1152.53,4566.66,63,20.81
1766167866978,1057.88,4567.43,64,20.81
1766167866998,1118.50,4628.06,64,20.81
1766167867072,1058.32,4671.07,65,21.33
1766167867089,1089.26,4702.02,65,21.33
1766167867130,1148.25,4761.01,65,21.33
1766167867199,1062.14,4775.08,66,21.89
1766167867257,1129.41,4842.36,66,21.89
1766167867328,1062.44,4879.39,67,21.89
1766167867328,1062.67,4879.61,67,21.89
1766167867393,1166.49,4983.44,67,21.89
1766167867454,1070.21,4983.89,68,21.89
1766167867515,1171.96,5085.64,68,21.89
1766167867581,1077.56,5089.52,69,21.89
1766167867581,1077.59,5089.55,69,21.89
1766167867649,1157.61,5169.57,69,21.89
1766167867711,1085.30,5195.40,70,21.89
1766167867769,1153.53,5263.64,70,21.89
1766167867778,1189.94,5300.05,70,21.89
1766167867857,1108.39,5324.36,71,21.89
1766167867893,1167.42,5383.39,71,21.89
1766167867974,1086.09,5408.68,72,22.40
1766167867998,1121.35,5443.94,72,22.40
1766167868039,1177.92,5500.51,72,22.40
1766167868104,1086.14,5515.34,73,22.40
1766167868128,1122.21,5551.41,73,22.40
1766167868177,1194.16,5623.36,73,22.40
1766167868302,1203.07,5730.36,74,22.40
1766167868369,1095.77,5731.09,75,22.40
1766167868388,1126.58,5761.90,75,22.40
1766167868434,1203.39,5838.72,75,22.40
1766167868499,1105.19,5838.77,76,22.40
1766167868541,1152.89,5886.47,76,22.40
1766167868634,1106.10,5947.35,77,22.40
1766167868634,1106.13,5947.38,77,22.40
1766167868696,1177.87,6019.11,77,22.40
1766167868768,1115.02,6056.01,78,22.40
1766167868794,1156.37,6097.36,78,22.40
1766167868839,1224.25,6165.24,78,22.40
1766167868905,1122.42,6166.88,79,22.40
1766167868970,1192.00,6236.45,79,22.40
1766167869006,1197.81,6242.27,79,22.40
1766167869043,1230.00,6274.45,79,22.40
1766167869109,1124.60,6277.89,80,22.40
1766167869134,1136.94,6290.23,80,22.40
1766167869211,1167.36,6320.66,80,22.40
1766167869281,1221.06,6374.36,80,22.40
1766167869291,1233.75,6387.05,80,22.40
1766167869361,1124.04,6388.33,81,22.40
1766167869382,1136.40,6400.69,81,22.40
1766167869484,1169.34,6433.63,81,22.40
1766167869534,1187.86,6452.15,81,22.40
1766167869536,1222.68,6486.97,81,22.40
1766167869629,1135.70,6510.42,82,22.93
1766167869629,1135.70,6510.42,82,22.93
1766167869822,1267.55,6642.28,82,22.93
1766167869831,1267.55,6642.28,82,22.93
1766167869903,1153.06,6642.61,83,22.93
1766167869962,1227.41,6716.96,83,22.93
1766167870088,1270.99,6760.54,83,22.93
1766167870091,1320.98,6810.53,83,22.93
1766167870191,1198.93,6810.58,84,22.93
1766167870191,1198.94,6810.58,84,22.93
1766167870341,1295.11,6906.75,84,22.93
1766167870365,1333.64,6945.28,84,22.93
1766167870382,1359.55,6971.19,84,22.93
1766167870454,1191.30,6971.21,85,22.93
1766167870648,1226.88,7006.79,85,22.93
1766167870651,1314.63,7094.53,85,22.93
1766167870711,1154.50,7094.54,86,23.45
1766167870950,1307.37,7247.42,86,23.45
1766167871023,1206.79,7260.98,87,23.45
1766167871201,1355.99,7410.17,87,23.45
1766167871414,1189.86,7410.47,88,23.45
1766167871420,1309.12,7529.74,88,23.45
1766167871461,1348.32,7568.93,88,23.45
1766167871721,1353.32,7721.66,89,23.45
1766167871728,1361.53,7729.87,89,23.45
1766167871975,1344.53,7871.35,90,23.45
1766167872082,1233.80,7914.05,91,23.45
1766167872082,1233.80,7914.05,91,23.45
1766167872128,1281.06,7961.32,91,23.45
1766167872190,1319.99,8000.24,91,23.45
1766167872232,1342.53,8022.79,91,23.45
1766167872354,1223.86,8042.11,92,23.45
1766167872355,1223.86,8042.12,92,23.45
1766167872389,1237.32,8055.58,92,23.45
1766167872451,1284.11,8102.37,92,23.45
1766167872533,1330.90,8149.16,92,23.45
1766167872542,1343.98,8162.24,92,23.45
1766167872618,1182.43,8165.14,93,23.45
1766167872633,1192.04,8174.75,93,23.45
1766167872759,1258.45,8241.16,93,23.45
1766167872789,1298.59,8281.30,93,23.45
1766167872855,1191.62,8281.34,94,23.45
1766167873074,1364.30,8454.02,94,23.45
1766167873080,1364.30,8454.02,94,23.45
1766167873150,1248.11,8454.04,95,24.99
1766167873337,1391.72,8597.65,95,24.99
1766167873337,1403.11,8609.04,95,24.99
1766167873451,1292.83,8663.45,96,25.51
1766167873484,1319.93,8690.55,96,25.51
1766167873545,1363.30,8733.92,96,25.51
1766167873600,1363.30,8733.92,96,25.51
1766167873694,1217.47,8733.94,97,25.51
1766167873696,1217.47,8733.94,97,25.51
1766167873765,1258.89,8775.36,97,25.51
1766167873866,1331.05,8847.53,97,25.51
1766167873879,1350.70,8867.18,97,25.51
1766167873951,1233.40,8867.20,98,25.51
1766167874001,1250.08,8883.87,98,25.51
1766167874111,1339.05,8972.85,98,25.51
1766167874130,1355.38,8989.17,98,25.51
1766167874236,1235.49,9002.54,99,25.51
1766167874236,1235.49,9002.54,99,25.51
1766167874297,1256.46,9023.51,99,25.51
1766167874449,1351.12,9118.17,99,25.51
1766167874452,1379.88,9146.93,99,25.51
1766167874526,1296.87,9190.60,100,25.51
1766167874574,1323.56,9217.29,100,25.51
1766167874580,1329.35,9223.08,100,25.51
1766167874644,1369.49,9263.22,100,25.51
1766167874682,1389.04,9282.78,100,25.51
1766167874731,1423.52,9317.25,100,25.51
1766167874785,1454.49,9348.22,100,25.51
1766167874860,1292.44,9374.25,101,25.51
1766167874985,1364.55,9446.36,101,25.51
1766167875071,1429.18,9510.99,101,25.51
1766167875082,1445.77,9527.58,101,25.51
1766167875339,1317.77,9577.17,102,25.51
1766167875343,1405.09,9664.48,102,25.51
1766167875379,1422.20,9681.59,102,25.51
1766167875494,1277.18,9681.61,103,26.53
1766167875496,1277.18,9681.62,103,26.53
1766167875541,1297.12,9701.55,103,26.53
1766167875616,1349.52,9753.95,103,26.53
1766167875658,1372.85,9777.29,103,26.53
1766167875684,1402.87,9807.30,103,26.53
1766167875744,1478.81,9883.25,103,26.53
1766167875893,1398.22,9956.33,104,29.17
1766167875915,1425.52,9983.64,104,29.17
1766167875935,1444.75,10002.87,104,29.17
1766167876024,1489.63,10047.75,104,29.17
1766167876031,1493.33,10051.44,104,29.17
1766167876112,1317.19,10068.09,105,29.17
1766167876268,1335.59,10086.49,105,29.17
1766167876277,1470.61,10221.50,105,29.17
1766167876288,1531.09,10281.99,105,29.17
1766167876354,1350.79,10282.01,106,29.68
1766167876378,1411.84,10343.06,106,29.68
1766167876486,1276.69,10414.66,107,29.68
1766167876488,1276.70,10414.67,107,29.68
1766167876544,1401.29,10539.26,107,29.68
1766167876607,1269.44,10539.90,108,29.68
1766167876662,1357.04,10627.49,108,29.68
1766167876729,1268.71,10664.39,109,29.68
1766167876744,1268.73,10664.41,109,29.68
1766167876798,1361.29,10756.98,109,29.68
1766167876864,1268.69,10788.84,110,29.68
1766167876879,1297.59,10817.74,110,29.68
1766167876990,1271.47,10913.36,111,29.68
1766167876998,1271.47,10913.36,111,29.68
1766167877051,1372.27,11014.16,111,29.68
1766167877127,1271.61,11038.02,112,29.68
1766167877177,1309.14,11075.54,112,29.68
1766167877186,1376.07,11142.47,112,29.68
1766167877255,1271.69,11162.74,113,29.68
1766167877313,1373.02,11264.07,113,29.68
1766167877382,1274.01,11287.49,114,29.68
1766167877383,1274.01,11287.50,114,29.68
1766167877438,1398.56,11412.05,114,29.68
1766167877507,1282.45,11412.64,115,29.68
1766167877565,1364.12,11494.31,115,29.68
1766167877637,1293.05,11538.41,116,30.21
1766167877637,1293.05,11538.42,116,30.21
1766167877700,1417.70,11663.07,116,30.21
1766167877772,1294.08,11665.22,117,30.21
1766167877822,1353.96,11725.10,117,30.21
1766167877834,1407.24,11778.38,117,30.21
1766167877909,1314.02,11799.84,118,30.73
1766167877974,1442.93,11928.76,118,30.73
1766167877978,1442.96,11928.78,118,30.73
1766167878043,1318.66,11929.07,119,30.73
1766167878107,1431.20,12041.60,119,30.73
1766167878183,1319.29,12058.17,120,30.73
1766167878183,1319.29,12058.18,120,30.73
1766167878234,1414.28,12153.17,120,30.73
1766167878313,1323.92,12187.82,121,30.73
1766167878334,1380.64,12244.54,121,30.73
1766167878444,1324.11,12317.66,122,30.73
1766167878445,1324.35,12317.90,122,30.73
1766167878502,1417.44,12410.99,122,30.73
1766167878573,1339.12,12448.98,123,30.73
1766167878582,1353.99,12463.85,123,30.73
1766167878637,1455.92,12565.79,123,30.73
1766167878708,1349.61,12580.37,124,30.73
1766167878731,1392.54,12623.30,124,30.73
1766167878839,1360.67,12713.14,125,30.73
1766167878839,1360.68,12713.14,125,30.73
1766167878902,1493.37,12845.83,125,30.73
1766167878975,1361.42,12846.65,126,30.73
1766167879034,1494.27,12979.49,126,30.73
1766167879107,1364.02,12980.26,127,30.73
1766167879135,1419.46,13035.70,127,30.73
1766167879247,1364.23,13114.06,128,30.73
1766167879247,1364.23,13114.06,128,30.73
1766167879312,1496.97,13246.80,128,30.73
1766167879388,1364.26,13247.85,129,31.24
1766167879389,1364.26,13247.85,129,31.24
1766167879442,1437.14,13320.73,129,31.24
1766167879533,1364.36,13381.66,130,31.24
1766167879533,1364.40,13381.70,130,31.24
1766167879601,1497.17,13514.47,130,31.24
1766167879679,1364.37,13515.48,131,31.24
1766167879679,1364.37,13515.48,131,31.24
1766167879747,1497.20,13648.31,131,31.24
1766167879829,1364.35,13649.27,132,31.24
1766167879830,1364.56,13649.48,132,31.24
1766167879883,1460.35,13745.27,132,31.24
1766167879976,1373.96,13783.12,133,31.24
1766167880042,1507.69,13916.84,133,31.24
1766167880122,1374.82,13917.82,134,31.24
1766167880148,1433.32,13976.31,134,31.24
1766167880194,1484.35,14027.35,134,31.24
1766167880270,1374.93,14052.62,135,31.24
1766167880300,1439.48,14117.17,135,31.24
1766167880335,1501.06,14178.75,135,31.24
1766167880425,1375.02,14187.46,136,31.24
1766167880460,1414.04,14226.48,136,31.24
1766167880492,1482.88,14295.32,136,31.24
1766167880569,1375.09,14322.24,137,31.24
1766167880600,1435.74,14382.90,137,31.24
1766167880629,1487.72,14434.88,137,31.24
1766167880715,1375.25,14457.10,138,31.24
