ts_ms,heap_mb,total_mb,num_gc,pause_ms
1766169264984,944.86,995.39,9,0.51
1766169265036,942.77,1044.76,10,0.51
1766169265092,942.73,1093.31,11,0.51
1766169265143,942.72,1141.28,12,0.51
1766169265199,942.70,1188.63,13,0.51
1766169265250,943.53,1236.95,14,0.51
1766169265307,942.68,1283.57,15,0.51
1766169265387,929.74,1365.51,17,0.51
1766169265435,943.12,1390.45,18,0.51
1766169265489,938.02,1432.64,19,0.51
1766169265533,942.67,1473.93,19,0.51
1766169265584,942.75,1520.34,20,0.51
1766169265640,942.68,1567.71,21,0.51
1766169265697,946.46,1618.24,22,0.51
1766169265753,942.75,1660.15,23,0.51
1766169265807,943.08,1708.98,24,0.51
1766169265835,930.46,1740.71,25,0.51
1766169265890,929.11,1789.68,26,0.51
1766169265945,929.65,1836.83,27,0.51
1766169265994,948.24,1869.71,28,0.51
1766169266048,942.62,1911.46,29,1.06
1766169266083,942.81,1944.01,29,1.06
1766169266137,942.48,1991.54,30,1.06
1766169266195,944.62,2040.53,31,2.64
1766169266241,940.27,2083.47,32,3.15
1766169266306,942.72,2131.25,33,3.67
1766169266358,943.89,2180.45,34,3.67
1766169266391,928.90,2209.94,35,5.19
1766169266441,940.04,2235.19,36,5.19
1766169266480,937.32,2278.80,37,5.71
1766169266543,944.90,2335.76,38,5.71
1766169266592,938.32,2373.84,39,5.71
1766169266630,942.68,2409.43,39,5.71
1766169266683,942.84,2456.25,40,5.71
1766169266738,942.44,2502.31,41,5.71
1766169266789,942.68,2548.74,42,7.23
1766169266845,942.19,2594.35,43,7.23
1766169266896,943.96,2641.28,44,7.73
1766169266950,942.81,2686.87,45,7.73
1766169267001,942.60,2731.52,46,7.73
1766169267078,945.54,2799.96,48,7.73
1766169267082,928.91,2809.90,48,7.73
1766169267131,942.53,2842.38,49,9.25
1766169267184,938.82,2887.07,50,9.25
1766169267233,939.83,2931.31,51,9.25
1766169267290,942.39,2983.92,52,9.25
1766169267342,940.86,3023.87,53,9.25
1766169267399,938.73,3075.33,54,9.75
1766169267429,942.73,3103.35,55,9.75
1766169267483,942.75,3144.52,55,9.75
1766169267534,942.53,3191.40,56,9.75
1766169267589,942.67,3236.08,57,9.75
1766169267642,942.30,3283.25,58,9.75
